,pH,Na,Mg,Ca,DOC,Alkalinity
122,8.6,9.37,3.8,14.51,2.6,45.3
123,8.6,19.78,5.63,24.26,3.6,64.7
124,8.2,15.03,4.05,18.01,2.5,48.5
125,7.8,34.12,4.95,28.11,3.9,52.4
126,7.4,47.22,16.05,33.42,5.3,74.9
127,8.95,9.770112,4.4670515,18.42520621,1.7,46
128,7.53,15.207799,4.3996716,27.8830273,1.1,65
129,8.46,19.368467,8.433534,38.06887027,1.5,80
130,8.55,9.741942,5.6679726,22.69477579,1.8,59
131,8.44,20.102777,6.4720173,31.58493383,1.2,78
132,7.24,257.48572,8.561985,68.47647884,9.7,160
133,7.74,22.419455,7.65267,32.15516988,2.7,92
134,7.73,58.03287,6.717134,41.2551463,3.4,70
135,7.33,14.1592,4.217015,24.86868497,1.6,61
136,7.55,28.326944,7.056613,29.13499203,1.9,45
137,7.33,17.68427,6.9252343,26.03774143,0.9,66
138,7.9,14.227019,6.5033174,21.16937609,1,56
139,7.73,16.864399,6.1191797,21.29770257,1.8,66
140,7.57,15.89603,5.888295,21.49285729,2.9,60
141,7.45,34.839558,7.3797064,27.33793118,4.1,65
142,9.18,46.692352,6.0487614,30.83523179,3.5,63
143,8.73,45.359238,6.8956494,24.74559284,5.8,72
144,8.55,206.48318,6.0181117,35.06991071,6.2,88
145,8.72,49.751568,7.482736,34.13912095,4,67
146,8.71,109.86566,11.909858,36.00386206,4.9,74
147,8.14,29.042534,7.94947,27.39118402,3.4,75
148,7.63,70.23964,10.089983,35.34329532,3.6,95
149,7.57,123.7758,7.289931,65.79345745,4.3,33
150,8.65,17.456535,7.4248843,25.01879646,1.9,58
151,8.09,71.14294,10.937422,31.71450953,3.3,42
152,6.8,66.9285,6.43845,26.8412,8.04,58.6
153,7.69,105.8415,9.9664,233.869,22.51,309.8
154,9.14,20.185,4.52968,20.7984,5.81,61.5
155,7.79,31.34975,5.91245,28.19125,7.32,59.4
156,6.58,57.0145,6.56165,22.3059,7.2,54.4
157,7.33,33.8245,6.34521,22.99265,7.56,62.6
158,8.2,11.55205,3.78761,18.9259,5.69,50.2
159,8.84,16.3204,5.84634,21.11265,4.93,57.5
160,7.35,16.6317,8.22304,29.9945,6.7,68.7
161,8.61,29.28805,5.93292,21.46585,6.74,53.6
162,7.42,16.6938,6.3286,28.7993,7.23,74.6
163,8.84,28.75695,6.25137,26.29815,6.27,65.5
164,7.15,16.2883,4.14638,17.3361,5.88,42
165,7.54,15.3695,3.93296,16.0178,5.63,38.1
166,8.32,18.0769,5.44473,21.2089,5.26,52.3
167,7.23,29.29195,9.25212,30.89665,7.43,64.5
168,7.32,20.3344,5.22552,19.8144,6.38,46.2
169,7.35,30.3977,5.54286,18.3734,7.14,55.4
170,7.64,42.7809,7.97929,22.4233,6.03,59.7
171,8.29,23.8226,4.96545,24.95365,3.97,66.7
172,8.06,18.7353,4.20404,21.6929,4.12,54.2
173,9.03,4.31093,2.44611,10.7573,3.45,35.9
174,7.4,6.34,5.07,20.14,2.9,76.2
175,6.5,13.78,8.39,36.46,2.2,91
176,6.8,20.71,4.48,20.5,1.6,64.3
177,6.7,22.58,6.64,26.5,2.7,87.7
178,6.9,19.61,5.33,21.06,3.4,69.2
179,6.9,13.08,4.59,18.98,1.8,64.6
180,7,14.52,4.97,21.32,2.5,68
181,6.8,26.24,4.74,21.67,3.1,83.2
182,7.2,43.31,6.95,56.06,4.4,79.8
183,7.1,16.53,7.35,27.06,3.4,89.4
184,7.3,43.94,8.63,34.68,5.4,99.9
185,8.4,13.83,3.84,17.23,1.7,63.3
186,7.5,44.45,10.31,104.43,15.2,117.4
187,8,6.67,2.1,9.65,1.8,38.4
188,8.5,8.21,3.97,23.36,1.5,53
189,7.5,12.85,4.18,19.88,2.7,53.6
190,7.4,18.39,3.91,16.96,2.7,56.6
191,8.4,11.56,3.64,19.62,1.8,45.6
192,7.7,19.16,2.49,15.39,4.1,36.2
193,7,43.71,6.61,24.32,6.2,91.7
194,8.15,14.01,5.36,22.58,1.04,34
195,7.2,14.47,4.21,25.93,0.66,52
196,7.28,17.03,7.21,34.13,0.69,59
197,7.59,11.61,4.88,21,1.4,37
